Player,Pos,FG%,3P,eFG%,FT%,TRB,AST,STL,BLK,TOV,PTS
Steven Adams\adamsst01,C,.592,0.0,.593,.582,9.3,2.3,0.8,1.1,1.5,10.9
Bam Adebayo\adebaba01,PF,.557,0.0,.558,.691,10.2,5.1,1.1,1.3,2.8,15.9
LaMarcus Aldridge\aldrila01,C,.493,1.2,.532,.827,7.4,2.4,0.7,1.6,1.4,18.9
Kyle Alexander\alexaky01,C,.500,0.0,.500,,1.5,0.0,0.0,0.0,0.5,1.0
Nickeil Alexander-Walker\alexani01,SG,.368,1.0,.455,.676,1.8,1.9,0.4,0.2,1.1,5.7
Grayson Allen\allengr01,SG,.466,1.5,.580,.867,2.2,1.4,0.3,0.1,0.9,8.7
Jarrett Allen\allenja01,C,.649,0.0,.649,.633,9.6,1.6,0.6,1.3,1.1,11.1
Kadeem Allen\allenka01,PG,.432,0.5,.489,.636,0.9,2.1,0.5,0.2,0.8,5.0
Al-Farouq Aminu\aminual01,PF,.291,0.5,.343,.655,4.8,1.2,1.0,0.4,0.9,4.3
Justin Anderson\anderju01,SG,.263,0.6,.342,.500,2.1,0.8,0.0,0.6,0.4,2.8
Kyle Anderson\anderky01,SF,.474,0.4,.511,.667,4.3,2.4,0.8,0.6,1.0,5.8
Ryan Anderson\anderry01,C,.286,0.5,.357,,3.5,1.0,0.5,0.0,0.5,2.5
Giannis Antetokounmpo\antetgi01,PF,.553,1.4,.589,.633,13.6,5.6,1.0,1.0,3.7,29.5
Kostas Antetokounmpo\antetko01,PF,1.000,0.0,1.000,.500,0.6,0.4,0.0,0.0,0.2,1.4
Thanasis Antetokounmpo\antetth01,SF,.500,0.0,.500,.412,1.2,0.8,0.4,0.1,0.6,2.8
Carmelo Anthony\anthoca01,PF,.430,1.5,.485,.845,6.3,1.5,0.8,0.5,1.7,15.4
OG Anunoby\anunoog01,SF,.505,1.3,.584,.706,5.3,1.6,1.4,0.7,1.1,10.6
Ryan Arcidiacono\arcidry01,PG,.409,0.9,.532,.711,1.9,1.7,0.5,0.1,0.6,4.5
Trevor Ariza\arizatr01,SF,.438,1.5,.557,.838,4.6,1.7,1.3,0.3,1.1,8.0
D.J. Augustin\augusdj01,PG,.399,1.2,.475,.890,2.1,4.6,0.6,0.0,1.5,10.5
Deandre Ayton\aytonde01,C,.546,0.1,.548,.753,11.5,1.9,0.7,1.5,2.1,18.2
Dwayne Bacon\bacondw01,SG,.348,0.5,.387,.660,2.6,1.3,0.6,0.1,0.9,5.7
Marvin Bagley III\baglema01,C,.467,0.3,.479,.806,7.5,0.8,0.5,0.9,1.4,14.2
Lonzo Ball\balllo01,PG,.403,2.3,.511,.566,6.1,7.0,1.4,0.6,3.1,11.8
