Player,Pos,G,FG%,3P,eFG%,FT%,TRB,AST,STL,BLK,TOV,PTS
,,,,,,,,,,,,
Precious Achiuwa\achiupr01,PF,61,.544,0.0,.544,.509,3.4,0.5,0.3,0.5,0.7,5.0
Jaylen Adams\adamsja01,PG,7,.125,0.0,.125,,0.4,0.3,0.0,0.0,0.0,0.3
Steven Adams\adamsst01,C,58,.614,0.0,.614,.444,8.9,1.9,0.9,0.7,1.3,7.6
Bam Adebayo\adebaba01,C,64,.570,0.0,.571,.799,9.0,5.4,1.2,1.0,2.6,18.7
LaMarcus Aldridge\aldrila01,C,26,.473,1.2,.525,.872,4.5,1.9,0.4,1.1,1.0,13.5
Ty-Shon Alexander\alexaty01,SG,15,.250,0.1,.333,.500,0.7,0.4,0.0,0.1,0.2,0.6
Nickeil Alexander-Walker\alexani01,SG,46,.419,1.7,.502,.727,3.1,2.2,1.0,0.5,1.5,11.0
Grayson Allen\allengr01,SG,50,.418,2.1,.547,.868,3.2,2.2,0.9,0.2,1.0,10.6
Jarrett Allen\allenja01,C,63,.618,0.1,.624,.703,10.0,1.7,0.5,1.4,1.6,12.8
Al-Farouq Aminu\aminual01,PF,23,.384,0.3,.424,.818,4.8,1.3,0.8,0.4,1.2,4.4
Kyle Anderson\anderky01,PF,69,.468,1.4,.540,.783,5.7,3.6,1.2,0.8,1.2,12.4
Giannis Antetokounmpo\antetgi01,PF,61,.569,1.1,.600,.685,11.0,5.9,1.2,1.2,3.4,28.1
Kostas Antetokounmpo\antetko01,PF,15,.300,0.0,.300,.462,1.3,0.1,0.1,0.3,0.7,0.8
Thanasis Antetokounmpo\antetth01,SF,57,.489,0.1,.515,.510,2.2,0.8,0.4,0.2,0.8,2.9
Carmelo Anthony\anthoca01,PF,69,.421,1.9,.506,.890,3.1,1.5,0.7,0.6,0.9,13.4
Cole Anthony\anthoco01,PG,47,.397,1.2,.449,.832,4.7,4.1,0.6,0.4,2.3,12.9
OG Anunoby\anunoog01,SF,43,.480,2.4,.580,.784,5.5,2.2,1.5,0.7,1.7,15.9
Ryan Arcidiacono\arcidry01,PG,44,.419,0.6,.526,.650,1.5,1.3,0.2,0.0,0.2,3.1
Trevor Ariza\arizatr01,SF,30,.411,1.7,.515,.773,4.8,1.8,1.0,0.6,0.7,9.4
D.J. Augustin\augusdj01,PG,57,.394,1.5,.515,.904,1.6,3.3,0.5,0.0,1.1,7.7
Deni Avdija\avdijde01,SF,54,.417,1.0,.502,.644,4.9,1.2,0.6,0.3,0.6,6.3
Deandre Ayton\aytonde01,C,69,.626,0.1,.629,.769,10.5,1.4,0.6,1.2,1.5,14.4
Udoka Azubuike\azubuud01,C,15,.444,0.0,.444,.800,0.9,0.0,0.1,0.3,0.2,1.1
Dwayne Bacon\bacondw01,SG,72,.402,0.8,.443,.824,3.1,1.3,0.6,0.1,0.6,10.9
Marvin Bagley III\baglema01,PF,43,.504,0.9,.542,.575,7.4,1.0,0.5,0.5,1.4,14.1
LaMelo Ball\ballla01,PG,51,.436,1.8,.504,.758,5.9,6.1,1.6,0.4,2.8,15.7
Lonzo Ball\balllo01,PG,55,.414,3.1,.537,.781,4.8,5.7,1.5,0.6,2.2,14.6
Mo Bamba\bambamo01,C,46,.472,0.8,.535,.682,5.8,0.8,0.3,1.3,0.8,8.0
Desmond Bane\banede01,SG,68,.469,1.7,.586,.816,3.1,1.7,0.6,0.2,0.9,9.2
Harrison Barnes\barneha02,PF,58,.497,1.7,.575,.830,6.6,3.5,0.7,0.2,1.6,16.1
RJ Barrett\barrerj01,SG,72,.441,1.7,.499,.746,5.8,3.0,0.7,0.3,1.9,17.6
Will Barton\bartowi01,SF,56,.426,1.8,.507,.785,4.0,3.2,0.9,0.4,1.7,12.7
Keita Bates-Diop\bateske01,SF,30,.448,0.2,.485,.667,1.6,0.4,0.4,0.2,0.2,2.6
Nicolas Batum\batumni01,SF,67,.464,1.6,.597,.828,4.7,2.2,1.0,0.6,0.8,8.1
Aron Baynes\baynear01,C,53,.441,0.5,.485,.707,5.2,0.9,0.3,0.4,0.9,6.1
Kent Bazemore\bazemke01,SF,67,.449,1.1,.545,.692,3.4,1.6,1.0,0.5,1.2,7.2
Darius Bazley\bazleda01,PF,55,.396,1.5,.456,.702,7.2,1.8,0.5,0.5,2.2,13.7
Bradley Beal\bealbr01,SG,60,.485,2.2,.532,.889,4.7,4.4,1.2,0.4,3.1,31.3
Malik Beasley\beaslma01,SG,37,.440,3.5,.547,.850,4.4,2.4,0.8,0.2,1.6,19.6
Jordan Bell\belljo01,C,6,.318,0.0,.318,.500,4.0,1.2,0.5,0.8,0.7,2.5
DeAndre' Bembry\bembrde01,SF,51,.513,0.3,.544,.682,2.9,2.1,1.0,0.4,1.4,5.7
Dāvis Bertāns\bertada01,PF,57,.404,3.0,.581,.870,2.9,0.9,0.6,0.2,0.6,11.5
Patrick Beverley\beverpa01,PG,37,.423,1.5,.550,.800,3.2,2.1,0.8,0.8,0.9,7.5
Saddiq Bey\beysa01,SF,70,.404,2.5,.530,.844,4.5,1.4,0.7,0.2,0.9,12.2
Tyler Bey\beyty01,SF,18,.318,0.1,.341,.600,1.1,0.2,0.0,0.1,0.2,1.0
Khem Birch\birchkh01,C,67,.497,0.2,.514,.705,5.8,1.3,0.7,0.7,0.7,7.2
Goga Bitadze\bitadgo01,C,45,.428,0.4,.479,.738,3.3,0.8,0.2,1.3,0.4,5.1
Bismack Biyombo\biyombi01,C,66,.587,0.0,.587,.448,5.3,1.2,0.3,1.1,1.1,5.0
Nemanja Bjelica\bjeline01,PF,37,.454,0.7,.523,.725,3.4,1.9,0.4,0.1,0.9,6.5
Eric Bledsoe\bledser01,SG,71,.421,1.7,.503,.687,3.4,3.8,0.8,0.3,1.6,12.2
Keljin Blevins\blevike01,SF,17,.250,0.1,.300,,0.6,0.2,0.1,0.0,0.3,0.7
Bogdan Bogdanović\bogdabo01,SG,44,.473,3.3,.602,.909,3.6,3.3,1.1,0.3,1.2,16.4
Bojan Bogdanović\bogdabo02,SF,72,.439,2.5,.536,.879,3.9,1.9,0.6,0.1,1.8,17.0
Bol Bol\bolbo01,PF,32,.431,0.3,.509,.667,0.8,0.2,0.1,0.3,0.4,2.2
Marques Bolden\boldema01,C,6,.333,0.0,.333,.625,1.0,0.0,0.3,0.3,0.3,1.2
Jordan Bone\bonejo01,PG,14,.426,0.7,.519,,1.7,1.3,0.1,0.0,0.2,4.0
Isaac Bonga\bongais01,SF,40,.370,0.3,.451,.625,1.7,0.6,0.3,0.2,0.6,2.0
Devin Booker\bookede01,SG,67,.484,1.9,.533,.867,4.2,4.3,0.8,0.2,3.1,25.6
Chris Boucher\bouchch01,C,60,.514,1.5,.595,.788,6.7,1.1,0.6,1.9,0.8,13.6
Brian Bowen\bowenbr02,SF,6,.250,0.0,.250,1.000,0.5,0.0,0.0,0.0,0.0,0.5
Avery Bradley\bradlav01,SG,27,.374,1.2,.471,.800,2.1,1.7,0.8,0.1,1.0,6.4
