Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season,isMVP
1,Precious Achiuwa,C,22,TOR,61,25,23.4,3.5,8,0.436,0.6,1.7,0.362,2.9,6.3,0.457,0.475,1,1.8,0.589,2.1,4.7,6.8,1.1,0.5,0.6,1.2,2.1,8.6,2021-2022,0
2,Steven Adams,C,28,MEM,67,66,26.5,2.9,5.1,0.555,0,0,0,2.9,5.1,0.557,0.555,1.5,2.7,0.544,4.6,5.3,9.9,3.2,0.8,0.8,1.6,1.9,7.2,2021-2022,0
3,Bam Adebayo,C,24,MIA,46,46,32.8,7.3,13.3,0.545,0,0.1,0,7.3,13.2,0.549,0.545,4.5,5.9,0.754,2.4,7.8,10.3,3.5,1.5,0.8,2.7,3.2,19,2021-2022,0
4,Santi Aldama,PF,21,MEM,27,0,10.3,1.4,3.6,0.381,0.1,1.4,0.103,1.2,2.1,0.569,0.402,0.4,0.7,0.6,0.9,1.5,2.4,0.5,0.1,0.3,0.3,1,3.3,2021-2022,0
5,LaMarcus Aldridge,C,36,BRK,45,12,22.8,5.6,10.1,0.554,0.3,1,0.311,5.3,9.1,0.58,0.569,2,2.3,0.873,1.6,4,5.6,0.9,0.3,1,0.9,1.6,13.5,2021-2022,0
6,Nickeil Alexander-Walker,SG,23,TOT,59,20,23.9,4.2,11.2,0.375,1.7,5.5,0.313,2.5,5.7,0.434,0.451,1.4,1.8,0.741,0.6,2.4,3.1,2.5,0.7,0.3,1.5,1.7,11.5,2021-2022,0
6,Nickeil Alexander-Walker,SG,23,NOP,50,19,26.3,4.7,12.6,0.375,1.9,6.1,0.311,2.8,6.5,0.434,0.45,1.4,1.9,0.722,0.7,2.6,3.3,2.8,0.8,0.4,1.7,1.8,12.8,2021-2022,0
6,Nickeil Alexander-Walker,SG,23,UTA,9,1,10.6,1.2,3.3,0.367,0.7,2,0.333,0.6,1.3,0.417,0.467,1.1,1.2,0.909,0.1,1.7,1.8,1.2,0.3,0.1,0.4,1.1,4.2,2021-2022,0
7,Grayson Allen,SG,26,MIL,59,58,27.5,3.9,8.9,0.434,2.5,6.2,0.403,1.4,2.7,0.506,0.574,0.9,1.1,0.862,0.5,2.9,3.4,1.6,0.7,0.3,0.6,1.5,11.2,2021-2022,0
8,Jarrett Allen,C,23,CLE,56,56,32.3,6.6,9.7,0.677,0,0.2,0.1,6.6,9.6,0.688,0.678,2.9,4.2,0.708,3.4,7.3,10.8,1.6,0.8,1.3,1.7,1.7,16.1,2021-2022,0
9,Jose Alvarado,PG,23,NOP,42,1,14.2,2.1,4.9,0.42,0.6,2,0.298,1.5,2.9,0.504,0.481,0.6,0.8,0.686,0.4,1.2,1.7,2.6,1.2,0.1,0.7,1.5,5.3,2021-2022,0
10,Justin Anderson,SF,28,TOT,7,0,12.4,1,3.3,0.304,0.4,2.4,0.176,0.6,0.9,0.667,0.37,0.9,1,0.857,0.3,1.1,1.4,1.3,0.3,0.1,0.6,1.3,3.3,2021-2022,0
10,Justin Anderson,SF,28,CLE,3,0,15.7,1.3,2.7,0.5,0.7,2,0.333,0.7,0.7,1,0.625,1,1.3,0.75,0,2,2,2,0.3,0,0.7,1.3,4.3,2021-2022,0
10,Justin Anderson,SF,28,IND,4,0,10,0.8,3.8,0.2,0.3,2.8,0.091,0.5,1,0.5,0.233,0.8,0.8,1,0.5,0.5,1,0.8,0.3,0.3,0.5,1.3,2.5,2021-2022,0
11,Kyle Anderson,PF,28,MEM,58,8,21.4,2.9,6.7,0.437,0.5,1.6,0.311,2.4,5.2,0.475,0.473,0.9,1.5,0.607,1.1,4.4,5.4,2.6,1.1,0.6,1,1.5,7.3,2021-2022,0
12,Giannis Antetokounmpo,PF,27,MIL,59,59,32.9,10.2,18.6,0.547,1.1,3.7,0.3,9.1,14.8,0.61,0.578,8.3,11.6,0.721,2,9.5,11.5,5.8,1.1,1.4,3.2,3.3,29.8,2021-2022,0
